id;street_address;postal_code;city;state_province
1;storyboard fedelini yum;burst;Spencerbury;fooey
2;huzzah pish;yuck a authorized;White Plains;at behind
3;rough ew stripe;unimpressively;West Ottilie;yahoo hm
4;if boohoo upbeat;upward;Reillyborough;regarding partially deprive
5;goodness;charm;Inglewood;max
6;yearly;occasion;Fort Elianeboro;before counseling
7;yippee eminent;besides offence letterbox;Steuberville;remorseful
8;aw times although;before;Maynardberg;hole out weakly
9;energetically apud;considering whenever;Twin Falls;marimba
10;individuate;bafflement;Bethlehem;acrylic alongside
